datum,20-29,30-49,50-69
03.01.20,30135,65993,36865
April 2020,35802,74436,40360
Mai 2020,36318,75672,41001
Juni 2020,34366,72737,39799
Juli 2020,33477,71555,39642
August 2020,34572,71215,39949
September 2020,33648,70276,39967
Oktober 2020,32901,71320,40989
November 2020,33600,73715,42367
Dezember 2020,35134,79466,45629
Januar 2021,36212,82680,47630
Februar 2021,35728,81662,47397
03.01.21,0,0,0
04.01.21,0,0,0
